"comment_id";"property_number";"client_number";"comment_text";"comment_date"
1;58;7;"The flat meets my requirements but the location is not suitable to me.";"2023-04-01"
2;39;9;"Does not meet my expectations. I want my penthouse to have a wonderful view";"2023-04-06"
3;31;27;"Too expensive";"2023-04-06"
4;97;41;"";"2023-04-04"
5;12;12;"I love it! Gonna lease it.";"2023-03-28"
6;18;33;"";"2023-04-05"
7;66;6;"Not spacious";"2023-04-04"
8;73;23;"One more room would be nice to have.";"2023-03-28"
9;80;35;"";"2023-04-05"
10;75;34;"I want explore more options before deciding.";"2023-04-03"
